ParkName,State,partySize,RateType,BookingType,Equipment,
Dollar Lake,NS,2,Senior,CampsitePermit,LT20ft,
Thomas Raddall,QC,1,Senior,CampsitePermit,LT30ft,
Amherst Shore,NS,2,Full,CampsitePermit,Tents,
Caribou Munroes,NS,4,Full,CampsitePermit,LT20ft,
Salsman,NS,2,Full,CampsitePermit,LT40ft,
Five Islands,NS,2,Full,CampsitePermit,LT20ft,
Graves Island,NS,5,Full,CampsitePermit,ST,
Rissers Beach,NS,3,Full,CampsitePermit,LT30ft,
Laurie,NS,3,Full,CampsitePermit,ST,
Smileys,NS,3,Full,CampsitePermit,ST,
Caribou Munroes,NS,4,Full,CampsitePermit,ST,
Laurie,NS,1,Full,CampsitePermit,ST,
Smileys,NS,4,Full,CampsitePermit,Tents,
Rissers Beach,NS,6,Full,CampsitePermit,Tents,
Amherst Shore,SK,1,Full,CampsitePermit,ST,
Salsman,NS,2,Full,CampsitePermit,ST,
Blomidon,NS,2,Full,CampsitePermit,ST,
Ellenwood Lake,NS,4,Full,CampsitePermit,ST,
Thomas Raddall,NS,4,Full,CampsitePermit,ST,
Rissers Beach,NS,1,Full,CampsitePermit,ST,
Thomas Raddall,NS,3,Full,CampsitePermit,ST,
Amherst Shore,QC,2,Full,CampsitePermit,ST,
Dollar Lake,NS,2,Full,CampsitePermit,ST,
Smileys,NS,3,Full,CampsitePermit,ST,
Battery,ON,2,Full,CampsitePermit,LT30ft,
Graves Island,NS,4,Full,CampsitePermit,ST,
Caribou Munroes,ON,1,Senior,CampsitePermit,LT20ft,
Mira River,NS,4,Full,CampsitePermit,ST,
Mira River,NS,4,Full,CampsitePermit,LT20ft,
Graves Island,ON,1,Senior,CampsitePermit,ST,
Rissers Beach,NS,5,Full,CampsitePermit,LT30ft,
Dollar Lake,NS,6,Full,CampsitePermit,LT20ft,
Rissers Beach,NS,5,Full,CampsitePermit,ST,
Graves Island,ON,3,Full,CampsitePermit,LT30ft,
Blomidon,NS,2,Full,CampsitePermit,ST,
Whycocomagh,NS,2,Full,CampsitePermit,ST,
Caribou Munroes,NS,2,Full,CampsitePermit,LT20ft,
Five Islands,PE,2,Full,CampsitePermit,ST,
Mira River,NS,4,Full,CampsitePermit,LT30ft,
Five Islands,ON,4,Full,CampsitePermit,ST,
Smileys,PE,4,Full,CampsitePermit,LT30ft,
Porters Lake,NS,3,Full,CampsitePermit,ST,
Graves Island,NS,3,Full,CampsitePermit,LT30ft,
Caribou Munroes,NS,3,Full,CampsitePermit,Tents,
Dollar Lake,NS,4,Full,CampsitePermit,ST,
Thomas Raddall,NS,6,Full,CampsitePermit,Tents,
Graves Island,NB,1,Full,CampsitePermit,ST,
Rissers Beach,BC,2,Senior,CampsitePermit,LT20ft,
Graves Island,NS,5,Full,CampsitePermit,LT30ft,
Caribou Munroes,NB,4,Full,CampsitePermit,ST,
Battery,NS,2,Full,CampsitePermit,ST,
Graves Island,NS,4,Full,CampsitePermit,LT20ft,
Mira River,NS,2,Full,CampsitePermit,ST,
Mira River,NS,2,Full,CampsitePermit,LT30ft,
Battery,AB,2,Full,CampsitePermit,LT30ft,
Amherst Shore,BC,1,Full,CampsitePermit,ST,
Graves Island,NS,3,Full,CampsitePermit,ST,
Battery,QC,2,Full,CampsitePermit,LT20ft,
Laurie,NS,6,Full,CampsitePermit,Tents,
Graves Island,NS,1,Full,CampsitePermit,ST,
Dollar Lake,NS,6,Full,CampsitePermit,Tents,
Graves Island,NS,2,Full,CampsitePermit,ST,
The Islands,BC,2,Senior,CampsitePermit,LT20ft,
Five Islands,NB,2,Full,CampsitePermit,ST,
Five Islands,NB,6,Full,CampsitePermit,Tents,
Salsman,NS,3,Full,CampsitePermit,ST,
Battery,QC,2,Full,CampsitePermit,ST,
Rissers Beach,NS,2,Full,CampsitePermit,LT20ft,
Battery,ON,3,Full,CampsitePermit,LT30ft,
Five Islands,NS,2,Senior,CampsitePermit,LT20ft,
Rissers Beach,NS,6,Full,CampsitePermit,Tents,
Mira River,NS,4,Full,CampsitePermit,LT30ft,
The Islands,NS,4,Full,CampsitePermit,ST,
Five Islands,NS,1,Full,CampsitePermit,ST,
Porters Lake,NS,2,Senior,CampsitePermit,LT20ft,
Thomas Raddall,NS,2,Full,CampsitePermit,LT30ft,
Caribou Munroes,NS,2,Full,CampsitePermit,LT20ft,
The Islands,NS,4,Full,CampsitePermit,LT20ft,
Graves Island,NS,3,Full,CampsitePermit,ST,
Valleyview,NS,3,Full,CampsitePermit,ST,
Graves Island,NS,2,Full,CampsitePermit,ST,
Smileys,NS,2,Veteran,CampsitePermit,LT30ft,
Salsman,ON,2,Full,CampsitePermit,LT20ft,
Whycocomagh,ON,2,Full,CampsitePermit,ST,
