ParkName,State,partySize,RateType,BookingType,Equipment,
Rissers Beach,NS,4,Full,CampsitePermit,Less than 40ft,
Porters Lake,NS,2,Veteran,CampsitePermit,Less than 30ft,
Mira River,ON,4,Full,CampsitePermit,Less than 40ft,
Porters Lake,QC,5,Full,CampsitePermit,Single Tent,
Five Islands,NS,2,Full,CampsitePermit,Less than 20ft,
Blomidon,ON,2,Full,CampsitePermit,Single Tent,
Graves Island,NS,4,Full,CampsitePermit,Less than 30ft,
Valleyview,NS,2,Senior,CampsitePermit,Single Tent,
Smileys,NS,2,Senior,CampsitePermit,Less than 30ft,
Smileys,NS,4,Full,CampsitePermit,Less than 20ft,
Smileys,NB,2,Full,CampsitePermit,Less than 20ft,
Rissers Beach,NS,4,Full,CampsitePermit,Less than 20ft,
Graves Island,NS,2,Full,CampsitePermit,Single Tent,
Graves Island,ON,2,Senior,CampsitePermit,Less than 20ft,
Graves Island,NS,2,Senior,CampsitePermit,Less than 30ft,
Ellenwood Lake,NS,4,Full,CampsitePermit,Single Tent,
Whycocomagh,QC,2,Full,CampsitePermit,Less than 30ft,
Five Islands,NS,3,Full,CampsitePermit,Tents,
Rissers Beach,NS,2,Full,CampsitePermit,Tents,
Graves Island,NS,2,Senior,CampsitePermit,Single Tent,
Mira River,NS,3,Full,CampsitePermit,Single Tent,
Blomidon,NS,2,Full,CampsitePermit,Single Tent,
Caribou Munroes,ON,3,Full,CampsitePermit,Less than 30ft,
Rissers Beach,NS,2,Full,CampsitePermit,Less than 20ft,
Graves Island,NS,2,Full,CampsitePermit,Less than 40ft,
Battery,NS,2,Full,CampsitePermit,Single Tent,
Graves Island,QC,2,FULL,CampsitePermit,Less than 30ft,
Graves Island,ON,4,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,QC,1,Senior,CampsitePermit,Less than 20ft,
Caribou Munroes,NS,2,Full,CampsitePermit,Single Tent,
Mira River,NS,2,Full,CampsitePermit,Less than 30ft,
Graves Island,NS,2,Full,CampsitePermit,Single Tent,
Caribou Munroes,NS,6,Veteran,CampsitePermit,Less than 30ft,
Blomidon,NS,2,Full,CampsitePermit,Tents,
Whycocomagh,PE,1,Full,CampsitePermit,Single Tent,
Five Islands,NS,2,Full,CampsitePermit,Single Tent,
Battery,NS,3,Full,CampsitePermit,Single Tent,
Laurie,NS,3,Full,CampsitePermit,Single Tent,
Caribou Munroes,NS,4,Full,CampsitePermit,Less than 20ft,
Graves Island,NS,4,Full,CampsitePermit,Single Tent,
Mira River,ON,2,Full,CampsitePermit,Single Tent,
Blomidon,NS,2,Full,CampsitePermit,Less than 30ft,
Mira River,NB,2,Full,CampsitePermit,Less than 20ft,
Cape Chignecto,NS,1,Full,BackcountryPermit,Single Tent,
Mira River,NS,4,Full,CampsitePermit,Less than 40ft,
Caribou Munroes,QC,2,Full,CampsitePermit,Single Tent,
Rissers Beach,NS,4,Full,CampsitePermit,Less than 20ft,
Five Islands,NB,4,Full,CampsitePermit,Less than 20ft,
Ellenwood Lake,NS,2,Full,CampsitePermit,Tents,
Caribou Munroes,QC,2,Full,CampsitePermit,Single Tent,
Caribou Munroes,NS,2,Full,CampsitePermit,Less than 30ft,
Mira River,QC,4,Full,CampsitePermit,Less than 30ft,
Dollar Lake,NS,2,Full,CampsitePermit,Single Tent,
Graves Island,NS,2,Full,CampsitePermit,Less than 30ft,
Mira River,NS,4,Full,CampsitePermit,Tents,
Caribou Munroes,NS,3,Full,CampsitePermit,Less than 20ft,
Rissers Beach,PE,2,Full,CampsitePermit,Less than 30ft,
Blomidon,QC,2,Full,CampsitePermit,Single Tent,
Rissers Beach,NS,2,Full,CampsitePermit,Single Tent,
Thomas Raddall,NS,4,Full,CampsitePermit,Less than 20ft,
Whycocomagh,NS,5,Senior,CampsitePermit,Less than 30ft,
Mira River,NS,4,Full,CampsitePermit,Less than 20ft,
Smileys,NS,2,Full,CampsitePermit,Less than 30ft,
Amherst Shore,NS,2,Full,CampsitePermit,Less than 20ft,
Salsman,NS,2,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,NS,2,Full,CampsitePermit,Less than 20ft,
Five Islands,NS,2,Senior,CampsitePermit,Less than 20ft,
Amherst Shore,BC,4,Full,CampsitePermit,Tents,
Salsman,NS,2,Full,CampsitePermit,Less than 40ft,
Porters Lake,NS,2,Full,CampsitePermit,Single Tent,
Thomas Raddall,NS,2,Full,CampsitePermit,Single Tent,
Dollar Lake,NS,6,Full,CampsitePermit,Tents,
Thomas Raddall,ON,1,Full,CampsitePermit,Single Tent,
The Islands,QC,4,Full,CampsitePermit,Less than 20ft,
Boylston,NS,1,Full,CampsitePermit,Single Tent,
Graves Island,NS,3,Full,CampsitePermit,Less than 20ft,
Caribou Munroes,ON,2,Full,CampsitePermit,Single Tent,
Caribou Munroes,NS,3,Full,CampsitePermit,Single Tent,
Mira River,NS,2,Full,CampsitePermit,Single Tent,
Blomidon,NS,2,Senior,CampsitePermit,Less than 30ft,
Mira River,NS,4,Full,CampsitePermit,Less than 30ft,
Graves Island,NS,2,Senior,CampsitePermit,Less than 30ft,
Mira River,NS,2,Full,CampsitePermit,Less than 30ft,
Rissers Beach,NS,4,Full,CampsitePermit,Less than 20ft,
Graves Island,NS,2,Full,CampsitePermit,Less than 30ft,
Battery,ON,2,Full,CampsitePermit,Single Tent,
Smileys,NS,5,Senior,CampsitePermit,Less than 30ft,
Graves Island,NS,2,Full,CampsitePermit,Less than 20ft,
Thomas Raddall,ON,2,Full,CampsitePermit,Less than 20ft,
Laurie,NS,6,Full,CampsitePermit,Single Tent,
Graves Island,NS,4,Full,CampsitePermit,Less than 30ft,
Rissers Beach,NS,2,Full,CampsitePermit,Less than 20ft,
Rissers Beach,NS,2,Full,CampsitePermit,Less than 20ft,
Caribou Munroes,NS,5,Full,CampsitePermit,Single Tent,
Five Islands,PE,2,Full,CampsitePermit,Single Tent,
Five Islands,ON,4,Full,CampsitePermit,Less than 20ft,
Cape Chignecto,ON,4,Full,BackcountryPermit,Cabin,
Laurie,QC,2,Full,CampsitePermit,Less than 20ft,
Graves Island,NS,2,Full,CampsitePermit,Less than 40ft,
Dollar Lake,NS,5,Full,CampsitePermit,Less than 20ft,
Graves Island,NS,2,Full,CampsitePermit,Tents,
Dollar Lake,NS,6,Full,CampsitePermit,Single Tent,
Five Islands,NS,2,Senior,CampsitePermit,Single Tent,
Blomidon,NB,4,Full,CampsitePermit,Single Tent,
Laurie,NS,2,Senior,CampsitePermit,Less than 30ft,
Amherst Shore,NS,2,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,ON,1,Full,CampsitePermit,Single Tent,
Caribou Munroes,ON,2,Full,CampsitePermit,Less than 20ft,
Rissers Beach,NS,2,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,NS,2,Full,CampsitePermit,Less than 30ft,
Battery,NS,4,Full,CampsitePermit,Single Tent,
Graves Island,NS,2,Senior,CampsitePermit,Less than 30ft,
Rissers Beach,NS,4,Full,CampsitePermit,Less than 30ft,
Rissers Beach,NS,3,Full,CampsitePermit,Single Tent,
Dollar Lake,NS,4,Full,CampsitePermit,Single Tent,
Graves Island,NS,4,Full,CampsitePermit,Tents,
Blomidon,BC,2,Full,CampsitePermit,Single Tent,
Whycocomagh,QC,5,Full,CampsitePermit,Single Tent,
Graves Island,NS,2,Full,CampsitePermit,Less than 40ft,
Smileys,NS,4,Full,CampsitePermit,Less than 20ft,
Ellenwood Lake,NS,4,Full,CampsitePermit,Single Tent,
Ellenwood Lake,NS,2,Senior,CampsitePermit,Less than 20ft,
Amherst Shore,NS,2,Full,CampsitePermit,Single Tent,
Graves Island,NS,4,Senior,CampsitePermit,Less than 30ft,
Graves Island,NS,2,Full,CampsitePermit,Single Tent,
Rissers Beach,NS,2,Full,CampsitePermit,Less than 30ft,
Mira River,QC,2,Full,CampsitePermit,Less than 20ft,
Graves Island,NS,2,Full,CampsitePermit,Single Tent,
Amherst Shore,NB,4,Full,CampsitePermit,Single Tent,
Blomidon,QC,2,Full,CampsitePermit,Single Tent,
Cape Chignecto,PE,2,Full,BackcountryPermit,Single Tent,
Thomas Raddall,NS,1,Full,CampsitePermit,Single Tent,
Graves Island,NS,4,Full,CampsitePermit,Less than 20ft,
Blomidon,NS,4,Full,CampsitePermit,Single Tent,
Battery,NS,2,Full,CampsitePermit,Single Tent,
Smileys,NS,4,Full,CampsitePermit,Less than 30ft,
Five Islands,NS,4,Full,CampsitePermit,Tents,
Rissers Beach,NS,2,Senior,CampsitePermit,Less than 40ft,
Whycocomagh,BC,2,Full,CampsitePermit,Single Tent,
Battery,ON,4,Full,CampsitePermit,Less than 30ft,
Graves Island,PE,1,Full,CampsitePermit,Single Tent,
Dollar Lake,NS,2,Full,CampsitePermit,Single Tent,
Five Islands,NS,2,Full,CampsitePermit,Single Tent,
Battery,QC,2,Full,CampsitePermit,Less than 30ft,
Graves Island,QC,1,Full,CampsitePermit,Less than 20ft,
Laurie,NS,6,Full,CampsitePermit,Tents,
Blomidon,NS,1,Senior,CampsitePermit,Single Tent,
Rissers Beach,NS,4,Full,CampsitePermit,Less than 30ft,
Valleyview,NS,1,Full,CampsitePermit,Single Tent,
Porters Lake,NS,5,Full,CampsitePermit,Less than 20ft,
Ellenwood Lake,NS,3,Full,CampsitePermit,Tents,
Cape Chignecto,NB,2,Full,BackcountryPermit,Single Tent,
Dollar Lake,NS,5,Full,CampsitePermit,Tents,
Five Islands,ON,5,Full,CampsitePermit,Less than 20ft,
Rissers Beach,NS,5,Full,CampsitePermit,Single Tent,
Amherst Shore,NS,4,Senior,CampsitePermit,Less than 30ft,
Mira River,NS,2,Full,CampsitePermit,Less than 20ft,
Amherst Shore,ON,2,Senior,CampsitePermit,Less than 30ft,
Smileys,NS,4,Full,CampsitePermit,Tents,
Ellenwood Lake,NS,3,Senior,CampsitePermit,Less than 30ft,
Ellenwood Lake,NS,5,Full,CampsitePermit,Single Tent,
Five Islands,QC,1,Senior,CampsitePermit,Single Tent,
Mira River,ON,2,Full,CampsitePermit,Less than 20ft,
Dollar Lake,NS,2,Full,CampsitePermit,Single Tent,
Laurie,NS,6,Full,CampsitePermit,Tents,
Caribou Munroes,NS,4,Full,CampsitePermit,Less than 20ft,
Porters Lake,NS,4,Full,CampsitePermit,Less than 30ft,
Rissers Beach,ON,1,Full,CampsitePermit,Single Tent,
Porters Lake,NS,2,Full,CampsitePermit,Single Tent,
Mira River,NS,2,Full,CampsitePermit,Single Tent,
Rissers Beach,NS,3,Full,CampsitePermit,Single Tent,
Graves Island,NS,4,Full,CampsitePermit,Less than 30ft,
Mira River,NS,4,Full,CampsitePermit,Less than 30ft,
Five Islands,NS,2,Full,CampsitePermit,Single Tent,
Mira River,QC,2,Senior,CampsitePermit,Single Tent,
Graves Island,BC,1,Full,CampsitePermit,Single Tent,
Whycocomagh,MB,2,Full,CampsitePermit,Single Tent,
Amherst Shore,ON,2,Full,CampsitePermit,Single Tent,
Mira River,NS,2,Senior,CampsitePermit,Single Tent,
Cape Chignecto,NS,2,Full,BackcountryPermit,Single Tent,
Whycocomagh,ON,2,Full,CampsitePermit,Less than 20ft,
Smileys,NS,6,Full,CampsitePermit,Less than 20ft,
Caribou Munroes,NS,4,Full,CampsitePermit,Single Tent,
Dollar Lake,NS,2,Veteran,CampsitePermit,Less than 30ft,
The Islands,QC,3,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,ON,2,Senior,CampsitePermit,Single Tent,
Caribou Munroes,NS,2,Full,CampsitePermit,Single Tent,
Dollar Lake,NS,5,Full,CampsitePermit,Less than 20ft,
Rissers Beach,NS,2,Full,CampsitePermit,Less than 30ft,
Thomas Raddall,NS,4,Full,CampsitePermit,Tents,
Whycocomagh,QC,2,Full,CampsitePermit,Less than 30ft,
Five Islands,NS,4,Full,CampsitePermit,Tents,
Dollar Lake,NS,5,Full,CampsitePermit,Single Tent,
Porters Lake,NS,2,Senior,CampsitePermit,Less than 40ft,
Rissers Beach,NS,2,Full,CampsitePermit,Less than 30ft,
Rissers Beach,NS,2,Full,CampsitePermit,Single Tent,
Mira River,QC,2,Full,CampsitePermit,Single Tent,
Smileys,NS,4,Senior,CampsitePermit,Less than 30ft,
Graves Island,NS,2,Full,CampsitePermit,Less than 40ft,
Battery,NS,3,Full,CampsitePermit,Single Tent,
Battery,NS,3,Full,CampsitePermit,Single Tent,
Caribou Munroes,NS,2,Full,CampsitePermit,Single Tent,
Battery,QC,4,Full,CampsitePermit,Single Tent,
Five Islands,ON,3,Full,CampsitePermit,Single Tent,
Thomas Raddall,NS,4,Full,CampsitePermit,Single Tent,
Smileys,NS,4,Full,CampsitePermit,Tents,
Valleyview,NS,4,Full,CampsitePermit,Less than 30ft,
Blomidon,ON,2,Full,CampsitePermit,Single Tent,
Smileys,NS,4,Full,CampsitePermit,Single Tent,
Amherst Shore,NS,3,Full,CampsitePermit,Less than 20ft,
Porters Lake,NS,5,Full,CampsitePermit,Single Tent,
Rissers Beach,NS,5,Veteran,CampsitePermit,Single Tent,
Dollar Lake,NS,6,Full,CampsitePermit,Tents,
Blomidon,NS,3,Full,CampsitePermit,Less than 40ft,
Blomidon,NS,4,Full,CampsitePermit,Tents,
Rissers Beach,NS,2,Veteran,CampsitePermit,Less than 20ft,
Thomas Raddall,NS,2,Full,CampsitePermit,Single Tent,
Mira River,NS,4,Full,CampsitePermit,Less than 30ft,
Whycocomagh,ON,4,Full,CampsitePermit,Tents,
Five Islands,ON,2,Full,CampsitePermit,Single Tent,
The Islands,NS,4,Full,CampsitePermit,Tents,
Ellenwood Lake,NS,2,Full,CampsitePermit,Single Tent,
Caribou Munroes,NS,2,Senior,CampsitePermit,Less than 30ft,
Blomidon,NS,2,Full,CampsitePermit,Less than 20ft,
Rissers Beach,NS,1,Full,CampsitePermit,Less than 30ft,
Battery,NS,2,Full,CampsitePermit,Tents,
Cape Chignecto,NB,1,Full,BackcountryPermit,Single Tent,
Graves Island,ON,2,Full,CampsitePermit,Less than 20ft,
Valleyview,NS,1,Senior,CampsitePermit,Less than 20ft,
Thomas Raddall,ON,1,Full,CampsitePermit,Single Tent,
Graves Island,NS,2,Full,CampsitePermit,Less than 20ft,
Caribou Munroes,NS,5,Full,CampsitePermit,Less than 30ft,
Laurie,QC,2,Full,CampsitePermit,Single Tent,
Thomas Raddall,NS,1,Senior,CampsitePermit,Less than 20ft,
Graves Island,BC,1,Full,CampsitePermit,Less than 20ft,
Porters Lake,QC,3,Full,CampsitePermit,Less than 30ft,
Valleyview,NS,3,Full,CampsitePermit,Single Tent,
Porters Lake,NS,6,Full,CampsitePermit,Single Tent,
Thomas Raddall,NS,5,Full,CampsitePermit,Tents,
Whycocomagh,ON,2,Full,CampsitePermit,Single Tent,
Whycocomagh,NS,2,Full,CampsitePermit,Less than 40ft,
Caribou Munroes,QC,5,Full,CampsitePermit,Less than 30ft,
Porters Lake,QC,2,Full,CampsitePermit,Single Tent,
Blomidon,NS,5,Full,CampsitePermit,Less than 30ft,
Porters Lake,QC,2,Full,CampsitePermit,Single Tent,
Thomas Raddall,NS,2,Full,CampsitePermit,Less than 20ft,
The Islands,QC,2,Full,CampsitePermit,Single Tent,
Graves Island,NS,4,Full,CampsitePermit,Single Tent,
Five Islands,NS,2,Full,CampsitePermit,Single Tent,
Five Islands,ON,2,Full,CampsitePermit,Single Tent,
Ellenwood Lake,NS,2,Full,CampsitePermit,Single Tent,
Graves Island,NS,2,Full,CampsitePermit,Less than 30ft,
Five Islands,NS,5,Full,CampsitePermit,Tents,
Thomas Raddall,NS,3,Full,CampsitePermit,Less than 40ft,
Amherst Shore,NS,2,Full,CampsitePermit,Less than 30ft,
Graves Island,NS,6,Full,CampsitePermit,Tents,
Porters Lake,NS,2,Full,CampsitePermit,Single Tent,
Blomidon,NS,2,Full,CampsitePermit,Single Tent,
Mira River,NS,3,Full,CampsitePermit,Less than 20ft,
Graves Island,NS,4,Full,CampsitePermit,Less than 30ft,
The Islands,NS,2,Senior,CampsitePermit,Less than 40ft,
Porters Lake,NS,2,Full,CampsitePermit,Single Tent,
Blomidon,NS,6,Full,CampsitePermit,Single Tent,
Five Islands,ON,2,Full,CampsitePermit,Single Tent,
Mira River,QC,3,Full,CampsitePermit,Single Tent,
Blomidon,NB,6,Full,CampsitePermit,Tents,
The Islands,ON,5,Full,CampsitePermit,Less than 20ft,
Rissers Beach,NS,2,Senior,CampsitePermit,Less than 20ft,
Graves Island,ON,2,Full,CampsitePermit,Single Tent,
Caribou Munroes,NS,1,Full,CampsitePermit,Single Tent,
Rissers Beach,NS,4,Full,CampsitePermit,Single Tent,
Valleyview,NS,1,Senior,CampsitePermit,Single Tent,
Rissers Beach,NS,4,Full,CampsitePermit,Less than 40ft,
Thomas Raddall,NB,2,Full,CampsitePermit,Single Tent,
Caribou Munroes,NS,2,Senior,CampsitePermit,Less than 20ft,
Ellenwood Lake,NS,5,Full,CampsitePermit,Tents,
Amherst Shore,QC,2,Full,CampsitePermit,Less than 30ft,
Cape Chignecto,NS,2,Full,BackcountryPermit,Single Tent,
Rissers Beach,NS,4,Full,CampsitePermit,Less than 20ft,
Porters Lake,ON,4,Full,CampsitePermit,Tents,
Rissers Beach,NS,4,Full,CampsitePermit,Less than 30ft,
Battery,ON,4,Full,CampsitePermit,Less than 20ft,
Valleyview,BC,2,Full,CampsitePermit,Single Tent,
Graves Island,NS,2,Senior,CampsitePermit,Less than 30ft,
Mira River,NS,2,Full,CampsitePermit,Less than 20ft,
Rissers Beach,NS,4,Full,CampsitePermit,Less than 20ft,
Thomas Raddall,NS,2,Full,CampsitePermit,Single Tent,
Mira River,NS,4,Full,CampsitePermit,Less than 40ft,
Laurie,PE,1,Full,CampsitePermit,Single Tent,
Smileys,NS,2,Full,CampsitePermit,Less than 20ft,
Thomas Raddall,NS,4,Full,CampsitePermit,Less than 20ft,
Whycocomagh,NS,4,Full,YurtPermit,Tents,
Porters Lake,NS,2,Full,CampsitePermit,Less than 20ft,
Cape Chignecto,NS,4,Full,BackcountryPermit,Single Tent,
Five Islands,NS,2,Full,CampsitePermit,Single Tent,
Five Islands,NS,5,Senior,CampsitePermit,Single Tent,
Thomas Raddall,NB,6,Full,CampsitePermit,Tents,
Rissers Beach,AB,1,Full,CampsitePermit,Less than 30ft,
Mira River,NS,2,Full,CampsitePermit,Single Tent,
Smileys,ON,1,Full,CampsitePermit,Single Tent,
Boylston,NS,1,Full,CampsitePermit,Single Tent,
Amherst Shore,NS,2,Senior,CampsitePermit,Less than 30ft,
Rissers Beach,AB,4,FULL,CampsitePermit,Less than 30ft,
Thomas Raddall,NS,1,Full,CampsitePermit,Single Tent,
Mira River,NS,3,Full,CampsitePermit,Less than 40ft,
Blomidon,NS,4,Full,CampsitePermit,Single Tent,
Five Islands,NS,5,Full,CampsitePermit,Tents,
Five Islands,NS,1,Senior,CampsitePermit,Single Tent,
Five Islands,NS,5,Full,CampsitePermit,Single Tent,
Rissers Beach,ON,2,Full,CampsitePermit,Single Tent,
Thomas Raddall,ON,2,Full,CampsitePermit,Single Tent,
Rissers Beach,NS,2,Veteran,CampsitePermit,Single Tent,
Caribou Munroes,NS,4,Full,CampsitePermit,Tents,
Smileys,NS,2,Full,CampsitePermit,Less than 30ft,
Graves Island,QC,2,Full,CampsitePermit,Single Tent,
Dollar Lake,NS,2,Full,CampsitePermit,Single Tent,
Dollar Lake,NS,5,Full,CampsitePermit,Single Tent,
Caribou Munroes,NB,2,Full,CampsitePermit,Single Tent,
Battery,AB,2,Senior,CampsitePermit,Single Tent,
Graves Island,NB,2,Full,CampsitePermit,Less than 30ft,
Thomas Raddall,NS,2,Full,CampsitePermit,Less than 20ft,
Whycocomagh,NS,3,Full,CampsitePermit,Single Tent,
Mira River,NS,3,Full,CampsitePermit,Less than 40ft,
Graves Island,NS,4,Senior,CampsitePermit,Tents,
Caribou Munroes,NS,4,Full,CampsitePermit,Less than 20ft,
Salsman,NS,2,Senior,CampsitePermit,Less than 20ft,
Mira River,NS,2,Full,CampsitePermit,Single Tent,
Rissers Beach,ON,4,Full,CampsitePermit,Single Tent,
Mira River,BC,2,Senior,CampsitePermit,Single Tent,
Whycocomagh,NS,2,Senior,CampsitePermit,Single Tent,
Laurie,NS,3,Full,CampsitePermit,Single Tent,
Dollar Lake,NS,6,Full,CampsitePermit,Tents,
Caribou Munroes,NS,4,Full,CampsitePermit,Single Tent,
Blomidon,ON,2,Full,CampsitePermit,Single Tent,
Mira River,NS,6,Full,CampsitePermit,Tents,
Caribou Munroes,NS,2,Full,CampsitePermit,Less than 30ft,
Smileys,NS,2,Full,CampsitePermit,Less than 20ft,
Valleyview,NS,1,Full,CampsitePermit,Less than 20ft,
Caribou Munroes,NS,2,Full,CampsitePermit,Less than 30ft,
Graves Island,QC,1,Full,CampsitePermit,Single Tent,
Five Islands,ON,2,Full,CampsitePermit,Single Tent,
Blomidon,NS,3,Full,CampsitePermit,Less than 20ft,
Rissers Beach,NS,2,Full,CampsitePermit,Single Tent,
Amherst Shore,NS,2,Senior,CampsitePermit,Less than 20ft,
The Islands,NB,2,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,AB,5,Full,CampsitePermit,Less than 20ft,
Dollar Lake,NS,4,Full,CampsitePermit,Tents,
Thomas Raddall,NS,2,Full,CampsitePermit,Single Tent,
Caribou Munroes,NS,3,Full,CampsitePermit,Tents,
Laurie,NS,3,Full,CampsitePermit,Less than 30ft,
